owner,wd_time,n_sells_72h,usd_sold_72h,first_sell_time,dumped
0x3846e7a1a5dea3f43104ed89ff0e6ffd1cc74b6e,2023-03-11 10:58:23.000 UTC,2,85849.1083500927,2023-03-11 10:59:11.000 UTC,1
0x13ac34ca33ae3e040e7fbd64c37926be343d1ab0,2023-03-11 06:50:59.000 UTC,2,81765.50187872184,2023-03-11 07:19:23.000 UTC,1
0x0697f14634b1b5c10a9c258cb98f75b83e44d871,2023-03-11 09:48:35.000 UTC,1,81511.18412092862,2023-03-13 11:47:59.000 UTC,1
0xfca3693dce1930f855ad17b9efd875c4bc2db3b9,2023-03-11 03:45:35.000 UTC,2,79311.33097539007,2023-03-13 12:58:47.000 UTC,1
0x344b9d6f155d3071c0db724aac8ffa11ad70a4e6,2023-03-11 03:17:23.000 UTC,2,72865.20803002546,2023-03-11 03:18:11.000 UTC,1
0x514751f2db32063455aa46397a26686160c9eb94,2023-03-10 17:46:11.000 UTC,1,70196.42959728022,2023-03-10 20:59:35.000 UTC,1
0xd78c609e8e232f346fe06caab29662fa469960e8,2023-03-09 13:17:23.000 UTC,5,69199.67544263779,2023-03-09 13:57:35.000 UTC,1
0xc84a9432572d1ed339091979c7cd3cafdbb86826,2023-03-13 00:03:23.000 UTC,1,68349.14417918988,2023-03-13 01:08:59.000 UTC,1
0x8b7308faf4b79f96b2689fab9570c80f375f6fbc,2023-03-11 01:30:11.000 UTC,1,64337.71984642626,2023-03-11 01:51:23.000 UTC,1
0xcdbf72b53123a63c6d5aaaeb16e6ecffd4db4d84,2023-03-11 11:15:23.000 UTC,1,60455.59478371407,2023-03-14 11:03:11.000 UTC,1
0x478b957619ea4548a6bdbab2fd6494c6e08eb547,2023-03-11 03:57:59.000 UTC,2,60210.023116755,2023-03-11 17:34:11.000 UTC,1
0x6a4d3799c39c3a0103e3ca852d0da1dad4b27683,2023-03-12 23:33:59.000 UTC,1,59861.4,2023-03-15 06:46:47.000 UTC,1
0x3641cbcb65e64e5e9cfbf68d254baaecf694b03e,2023-03-11 06:55:35.000 UTC,1,52809.68417159481,2023-03-11 07:04:11.000 UTC,1
0x42a49dcf7902c6b7938a00cdbe62a112a2b539e8,2023-03-14 17:18:11.000 UTC,1,39416.8141104336,2023-03-15 03:00:59.000 UTC,1
0x65562b673896b1c62e4b2429a9a91c1f010b8977,2023-03-11 01:00:59.000 UTC,1,38476.49636594672,2023-03-11 01:19:35.000 UTC,1
0x56427350a1940eae254575d56f8a569e96e81081,2023-03-10 09:07:59.000 UTC,1,35513.43060949863,2023-03-10 09:07:59.000 UTC,1
0xb70c67d6da9db6ffe565c20339e18edb69140cb8,2023-03-11 21:30:11.000 UTC,1,35212.204999999994,2023-03-12 22:39:59.000 UTC,1
0xac979bfe175a31cf7def1e966122a615d1ccc29d,2023-03-11 11:46:23.000 UTC,4,34714.77415321944,2023-03-11 11:48:59.000 UTC,1
0x8d17c1b895e9c85068fff7f9fa6d35cc3dd594c2,2023-03-09 04:39:35.000 UTC,6,33014.574874738006,2023-03-09 04:44:23.000 UTC,1
0xa9903bda477b9a57bd795adff9922cb98db65f04,2023-03-10 22:06:59.000 UTC,1,30263.48779464537,2023-03-10 23:06:11.000 UTC,1
0xfe948ef9cb915799355dbb04a98300f7ae2d4be0,2023-03-13 17:54:35.000 UTC,1,29957.394362534927,2023-03-13 17:57:11.000 UTC,1
0x498c5431eb517101582988fbb36431ddaac8f4b1,2023-03-10 02:39:47.000 UTC,2,29690.698533438037,2023-03-10 02:39:47.000 UTC,1
0x489e383a21993251f2c73936b8e8e6965f10188d,2023-03-11 02:07:47.000 UTC,1,25798.314216272393,2023-03-11 02:10:47.000 UTC,1
0xf87ea8e1d1fd3c41486b09f5672463a01fb1ec7f,2023-03-11 00:56:47.000 UTC,2,24758.737405319105,2023-03-11 01:05:59.000 UTC,1
0x6fce63859a859a0f30ed09b12f5010d790618ca4,2023-03-11 03:41:59.000 UTC,1,23351.590428955922,2023-03-12 07:42:11.000 UTC,1
0xf32e30f0dc4179098e0ae5194513638918a26191,2023-03-10 12:20:59.000 UTC,2,22277.6800890058,2023-03-11 04:08:11.000 UTC,1
0x0570ab4734e8ba6589295761089bb788ca172fd0,2023-03-14 23:55:35.000 UTC,3,20969.803784617627,2023-03-14 23:56:59.000 UTC,1
0x9365c31430feece3591711bf452fb1fc477cf5c1,2023-03-11 18:47:23.000 UTC,1,20113.39510644534,2023-03-11 18:54:11.000 UTC,1
0x3a4b5efbe6db1d3f364168299bea3c38b5c340c0,2023-03-11 00:47:23.000 UTC,1,19921.76957548457,2023-03-11 00:49:11.000 UTC,1
0x88c9a972f47c82ada656889e5e5d8c97fe3df301,2023-03-12 18:39:23.000 UTC,3,19181.8196398221,2023-03-12 18:40:35.000 UTC,1
0xc4f4f045e4b3b73e570aec1a3213fda943d7c627,2023-03-10 23:10:11.000 UTC,2,18102.73276852678,2023-03-10 23:17:23.000 UTC,1
0x2a08d2692cac04b44a4aed32745a40f9a5671530,2023-03-10 21:06:35.000 UTC,1,17869.560188751526,2023-03-11 00:49:47.000 UTC,1
0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,2023-03-09 12:30:35.000 UTC,9,17827.96682732467,2023-03-09 23:43:59.000 UTC,1
0xb79b77990ef43059cc9f197179c71066a60591fe,2023-03-10 19:26:23.000 UTC,1,17501.329999999998,2023-03-10 19:28:59.000 UTC,1
0xb90973421e3b6bb342838989c86278d4601d42f3,2023-03-09 20:20:47.000 UTC,2,16626.9703889785,2023-03-11 01:38:35.000 UTC,1
0x8827f8c89347607d404c3619f1fedec7971e507f,2023-03-11 03:57:23.000 UTC,2,16348.5703783116,2023-03-11 04:01:47.000 UTC,1
0x135896de8421be2ec868e0b811006171d9df802a,2023-03-09 12:34:59.000 UTC,5,15764.869329612626,2023-03-09 20:01:23.000 UTC,1
0x3b6cee609352c61c9f98bc53c7e221f92519dab4,2023-03-13 10:13:35.000 UTC,2,14807.118282702431,2023-03-13 12:53:35.000 UTC,1
0xdc91dcd5de2aff7eeeb84648ce15db10aaf53ea5,2023-03-13 07:17:59.000 UTC,2,13960.716,2023-03-13 07:48:59.000 UTC,1
0x43582da3013ac31e1fc9e352e10a9380953db608,2023-03-11 09:53:35.000 UTC,1,13925.88008406485,2023-03-11 10:07:23.000 UTC,1
0xd120cf3e0408dd794f856e8ca2a23e3396a9b687,2023-03-14 14:04:59.000 UTC,2,11988.8220703,2023-03-16 01:02:35.000 UTC,1
0x1aab5ad27515409cf96f8ee10c41e2fd8f0365dd,2023-03-10 07:33:47.000 UTC,1,10005.839999999998,2023-03-10 07:37:11.000 UTC,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-03-11 21:12:47.000 UTC,1,9966.91,2023-03-14 14:28:11.000 UTC,1
0x61a57102f4e2ecd9bce097caef623e6313cc773a,2023-03-10 20:49:35.000 UTC,2,9804.481321162884,2023-03-10 21:41:47.000 UTC,1
0x064ad79d7f835ecfda1047388450137b1cfbdf87,2023-03-11 11:41:23.000 UTC,1,9200.44545610994,2023-03-11 11:54:35.000 UTC,1
0xf9ca66ef84c773fab422562ab41b1ee8d4397418,2023-03-14 16:26:11.000 UTC,1,9181.14,2023-03-14 19:25:47.000 UTC,1
0xf035af8a3dff1f90aeb21f9623589ae1330e9e09,2023-03-13 00:46:47.000 UTC,1,9181.13586,2023-03-14 16:51:23.000 UTC,1
0x9ca9dc54b793928d7a0b0ebb2413d74ba3771d90,2023-03-11 02:49:11.000 UTC,1,8807.661149902644,2023-03-11 02:56:47.000 UTC,1
0x92891f12c9448fec7750aff2eb697a62b87659f8,2023-03-12 13:39:23.000 UTC,2,8045.55240361261,2023-03-12 14:23:47.000 UTC,1
0x78bde1fe54d93d6bc483e160205f4b7e1c7ca5fb,2023-03-11 07:15:47.000 UTC,1,7363.87462970325,2023-03-14 05:14:59.000 UTC,1
0x64895e26b8bd085fe5f56e830ce3f84953594422,2023-03-12 10:00:11.000 UTC,1,6804.4984122476,2023-03-12 21:08:47.000 UTC,1
0xf5f165910e11496c2d1b3d46319a5a07f09bf2d9,2023-03-12 01:40:59.000 UTC,1,5903.358552,2023-03-14 13:12:47.000 UTC,1
0x02bb6041d8620b3547d3c3604e159b4b8968ef84,2023-03-11 14:32:47.000 UTC,1,5668.42081517453,2023-03-11 14:38:47.000 UTC,1
0x56fa49538111351819567b611cb46560d0777a03,2023-03-11 08:18:11.000 UTC,2,5032.040878348326,2023-03-11 08:18:11.000 UTC,1
0xd155ae951285d54a8068d2b5ade9e00eb17e8947,2023-03-10 21:23:47.000 UTC,1,5002.42850572501,2023-03-10 21:24:35.000 UTC,1
0x3e3272ed00fad2890b4374e25b3f4d90f2dd55ed,2023-03-11 01:28:47.000 UTC,1,4958.677238917698,2023-03-11 02:05:59.000 UTC,1
0xc5834255e23a2207916beccda65f17c8a58fef1d,2023-03-11 01:16:59.000 UTC,1,4723.69925,2023-03-11 01:22:59.000 UTC,1
0xa02f419cfa73669acb54c7f18ec506ddfe53e1b2,2023-03-10 22:41:47.000 UTC,1,4482.4266796815,2023-03-10 22:41:47.000 UTC,1
0x26fab83af0f1a06dcccb814fc39408dd83bb89bb,2023-03-09 03:07:23.000 UTC,1,4098.95204945135,2023-03-10 05:15:23.000 UTC,1
0x21d9928b631cbd395ae9d112dec343c3487ba034,2023-03-11 06:54:59.000 UTC,1,3547.865695897774,2023-03-11 06:57:47.000 UTC,1
0x452e4d7fea55d8e329de4628cf016c4edf7dc723,2023-03-11 05:06:23.000 UTC,1,2950.457136,2023-03-11 05:15:23.000 UTC,1
0x24d197db5f5963084c85b4dca98e4acaae83bf16,2023-03-10 23:31:23.000 UTC,1,2928.990789863168,2023-03-11 20:41:11.000 UTC,1
0x50b5acfda38bad3eebb7a82bbd73349589e68758,2023-03-11 06:23:59.000 UTC,1,2639.2499341655002,2023-03-11 06:29:59.000 UTC,1
0x29e3fcb9f4aad6225f359de66f3e81e643ac1dcb,2023-03-10 22:51:59.000 UTC,1,2534.5913798374204,2023-03-10 23:02:35.000 UTC,1
0x4332bcfc3a8df8b89b8ca524068051c8c3bd2c7e,2023-03-11 10:29:59.000 UTC,1,1483.38767029608,2023-03-11 10:32:35.000 UTC,1
0x5c9d6f5de9f0b908f916a77f63c991712095e58c,2023-03-11 14:51:23.000 UTC,1,1428.3279714524826,2023-03-11 14:53:47.000 UTC,1
0xb1e04ac3cc0f70a1a923a1666694ac5cd615ce27,2023-03-10 12:21:35.000 UTC,2,902.1657195816059,2023-03-10 12:25:11.000 UTC,1
0x06f744343545010898eed6e3f0f8f1d9b005e9e4,2023-03-11 00:32:59.000 UTC,1,833.9680111199999,2023-03-11 18:11:35.000 UTC,1
0xe7f8f769bf30de8207019d5520762e453c5691b9,2023-03-12 21:18:59.000 UTC,1,772.91192740138,2023-03-12 21:27:23.000 UTC,1
0x82287cdda3d1b5d26d49ce03280d07b86d54fe54,2023-03-11 07:55:23.000 UTC,4,188.4973,2023-03-11 16:44:47.000 UTC,1
0x84ecf15af6fec307afeab934b46947967bc02d5f,2023-03-12 09:22:23.000 UTC,1,47.506704,2023-03-13 12:41:47.000 UTC,1
0x24c5207c3dbac05629b816ce1f7db17d00b29c15,2023-03-14 08:10:35.000 UTC,1,16.6944,2023-03-14 08:14:59.000 UTC,1
0x634ec66a3794ee24d30490a722c5681bdbac3efe,2023-03-10 23:37:47.000 UTC,1,0.9971759742719999,2023-03-10 23:42:35.000 UTC,1
0x3ff6228d304af00182018a55cb566f22381fcb66,2023-03-11 03:50:35.000 UTC,1,0.9718824360210001,2023-03-11 03:54:23.000 UTC,1
0xfc0a6581f754acf13702c3b68ecd5dc17d690944,2023-03-11 01:35:11.000 UTC,0,0,,0
0xcef154b4dfe2069ffbe02a7fcd3d7f9ed8abd23b,2023-03-11 02:07:11.000 UTC,0,0,,0
0x74bfb9a4d20269f36373e549f57ae0e147c7bfdc,2023-03-11 02:06:11.000 UTC,0,0,,0
0x577b1abe38de35e41243ee14910dffda313f6c11,2023-03-11 04:34:47.000 UTC,0,0,,0
0x3b93e1b9ca252143845ddb08927b83db65f90e26,2023-03-09 06:03:11.000 UTC,0,0,,0
0xf03c3f40348096bf2acf6565893f2cbb9f57e2be,2023-03-11 14:49:11.000 UTC,0,0,,0
0xf45fe78795703606df50e1e86328442a4f2fa6ce,2023-03-11 07:51:11.000 UTC,0,0,,0
0x60ee8465dc43245c6c2989b1089e476d3a0a717d,2023-03-10 13:39:47.000 UTC,0,0,,0
0x630da2db55597a11fa356446852adb5bf522c093,2023-03-11 10:17:59.000 UTC,0,0,,0
0x515c475400859e50f15b57adfa8503821fd794b9,2023-03-14 16:33:23.000 UTC,0,0,,0
0x54dda22ae140edb605c73073eabb6f4aea2fc237,2023-03-13 04:03:59.000 UTC,0,0,,0
0xcd931775f36bf0ceddc20ae8e256838890e49212,2023-03-11 04:10:23.000 UTC,0,0,,0
0x824d120f51c467ba355b0496627bb5942a09030d,2023-03-11 01:13:11.000 UTC,0,0,,0
0x225b6839312fe2b1ef235704da76c7950727c82a,2023-03-11 07:20:23.000 UTC,0,0,,0
0x30bf85e1d0bc7fdedcbeeff39225d8037cb0cb7c,2023-03-11 06:16:47.000 UTC,0,0,,0
0xbe0affe00de6bbdb717d2c7af7f9feb45311320d,2023-03-14 13:08:47.000 UTC,0,0,,0
0x9441deb6e03540cf3be3cfffe227ce4fa6827a4b,2023-03-10 19:06:11.000 UTC,0,0,,0
0x597cd7be3765187718b141cbe9bed26e556f9a95,2023-03-09 05:17:11.000 UTC,0,0,,0
0xa197bbb6984cfeab1f069a6ccb245887c605a140,2023-03-11 02:58:47.000 UTC,0,0,,0
0xca1b2539fcf68a3d913a65d762d379c3e06e7187,2023-03-10 14:00:35.000 UTC,0,0,,0
0x3ffc6017418ca46f5cff9e966c066f7090778665,2023-03-12 16:20:23.000 UTC,0,0,,0
0x6436469cd3a47ccbc33537fe838fba6046c88327,2023-03-12 01:26:11.000 UTC,0,0,,0
0xcbbd0053b3750264e16f9d7116bd0a865f94cf9e,2023-03-11 06:06:23.000 UTC,0,0,,0
0x49f698532fcda7cf7db1293661ef4b6131630cab,2023-03-14 21:57:47.000 UTC,0,0,,0
0xb812d0944f8f581dfaa3a93dda0d22ecef51a9cf,2023-03-11 07:15:35.000 UTC,0,0,,0
0x19fefb693650edafff24f474f0fb5f7804692db2,2023-03-11 00:47:59.000 UTC,0,0,,0
0xac10809033df337446046321fa549ba739f6739e,2023-03-11 11:23:59.000 UTC,0,0,,0
0x3222d1c6624e7a9802b1a5d3ad2c5f7efa3df7f7,2023-03-11 00:59:11.000 UTC,0,0,,0
0x29aba156105eae7420811e7ca880b5c0ced552fc,2023-03-11 14:46:35.000 UTC,0,0,,0
0x3f3646528efcd96849823ec0652ad7e4c1fff812,2023-03-13 13:16:23.000 UTC,0,0,,0
0x9aa09d36be9bceee36b3dc81c0a5137ecf7ea13b,2023-03-10 08:16:59.000 UTC,0,0,,0
0xb295faacfe9d72ce8bd57b8771bad5cd031647dc,2023-03-11 03:41:23.000 UTC,0,0,,0
0x236f233dbf78341d25fb0f1bd14cb2ba4b8a777c,2023-03-11 03:45:59.000 UTC,0,0,,0
0x3ff2d8eb2573819a9ef7167d2ba6fd6d31b17f4f,2023-03-12 03:00:35.000 UTC,0,0,,0
0x6728da53d8bc7c574874745dd2c71b9ae6eae820,2023-03-11 10:49:23.000 UTC,0,0,,0
0x25e6f3e429ab5e859d8fb63d40b1215ea31e9a5a,2023-03-14 12:24:23.000 UTC,0,0,,0
0x30ca7036043b45656954d72c907996ec727e9eff,2023-03-10 23:08:35.000 UTC,0,0,,0
0xb6020901228d73a0a232166a33a1fa2e103960da,2023-03-12 15:09:35.000 UTC,0,0,,0
0xf5e0e56bdeaa89be9ba6166fac3c62cce793754e,2023-03-13 11:19:35.000 UTC,0,0,,0
0x57b8b5a755b0c305418583fbd97a9192e2f3e7af,2023-03-12 23:59:11.000 UTC,0,0,,0
