owner,market,net_usdc
0xcdf277c668b7f62433d3f2585e0ed5ba2d68f99e,compound_v2,0.0
0x5e0158553598b40ecc13a3b1f78ee96536e6d0da,compound_v2,1.4361720000000002e-06
0x47a0b42326cd1d730363cdd388eb776ebecae1b5,compound_v2,0.0
0x9e43efd070d8e3f8427862a760a37d6325821288,compound_v2,103309.12928309102
0xaf189c78317ef787442d9c0a390bca9534f81f38,compound_v2,237.77273458594803
0xa461554aebc1e473ba90bd7f9d3f598fa2fe7a3b,compound_v2,10519.15297137294
0xd0f591a4ff124d2ec8f2f6ce6fabd53f46f11045,compound_v2,803.6748735646081
0x6e84ff2960c18dda92428bbb2aa448f0d0727b61,compound_v2,179.526089682864
0x92db26337d8bd3a3a2d8601f5e757d396c663321,compound_v2,910.0936928057521
0x1fd0e7b43564a21e8ec7670b7c7460792984d8e9,compound_v2,109.57725770179199
0x57cbe501092e36e87692d89ce4e75f98aa45feb2,compound_v2,216.495973866156
0x24dc7de2a240fb461f437607531e158d1830fcd7,compound_v2,122.25570457178401
0x2c0d9c83ab53e02832e12d53f7e26eb634dc7131,compound_v2,50400.87679219386
0x0e3ae88cb3f2f93db8da52be20f05a447235191d,compound_v2,113.51359700256
0x7141203b92bb963fce78882a4e29442045df91b7,compound_v2,2332.231173577692
0x3df8df98fe1e487c549ccb660a7eee4210806b6f,compound_v2,104.089146076092
0xd70aa64ff5599cb852a938d4dbf26054f1b91b43,compound_v2,296.38682452683605
0xe588ccbfdb206bde7b1288c7a46b8a33c9f8a363,aave_v2,-24981.044997
0x66b870ddf78c975af5cd8edc6de25eca81791de1,aave_v2,-44091568.102534
0x975adb75ceacb6f9bbcc79010cfc5e3c0ca7299d,aave_v2,-118985.450739
0x1fe14c72bd05a61dc8ee3fdda6633dc5a1b6bbe6,aave_v2,50223.584034
0x5e79ab0020d5dc34f9de5d8d5bb7e35450c54c22,aave_v2,-13518.475623
0xe4446d52e2bdb3e31470643ab1753a4c2aeee3ea,aave_v2,-182627.529334
0x6c1a5b9bdef1b21726b9fd1a0769d6f5b145c7d0,aave_v2,-37329.089364
0xb83c15a93b65a57c59a568068dfee5da911146b8,aave_v2,-9731254.279312
0x2cd378ab02d6169d6498646df27ef8aaea86a09b,aave_v2,-6844.17037
0xa9fc884430b4d28253ef198c9730f65b2062549c,aave_v2,-20286.076853
0x3db9168e8268f512de9dded2a728b086c7fcae32,aave_v2,-20667.752526
0x0b22380b7c423470979ac3ed7d3c07696773dea1,aave_v2,-792559.261189
0xc4f4f045e4b3b73e570aec1a3213fda943d7c627,aave_v2,-29141.061103
0xcffea940ae53725ffe834895c79ce3d2b5c0ff86,aave_v2,-32993.272828
0x6b27e75bffa03521fe692a170329ab2640aeaa2c,aave_v2,-100010.0
0x8503ea9bb20b74a0c8287ed225cee82d58648882,aave_v2,-10000.0
