owner,proto,tenure_days
0xc3c6a0f4b79fe0c3b71981e3b1986b77daa8312e,aave_v2,566
0x891fb5fd44a5ce2124adfd4d5dde42190bc33768,aave_v2,428
0xb1bcfa1004019f54ffd1e6f0bfe9425f82e71fb2,aave_v2,411
0x0574215b0a39119c84ca17f1ec83418eeb5ada8e,aave_v2,629
0x0934ea351acaf269179eff486da9fb4cdaa1b31f,aave_v2,556
0xb9e17b37a85f240ef46476fd85119fe1643277b6,aave_v2,563
0x3eaa246f61e6e29d7ccbfae640e5c79f956a1869,aave_v2,641
0xa1efa0adecb7f5691605899d13285928ae025844,aave_v2,804
0x264e7ac6b4245c49d4d7f9b2ef6f5d0edd749374,aave_v2,532
0x9875094945893d40979e2858b6caf788dcce3368,aave_v2,618
0xec0c666acd059e2bbf5dd055f1a282bf0ebf16fc,aave_v2,636
0x76e7a5bb155ab6838caadcf4aec0a2620d7a97a3,aave_v2,352
0x28a98f260d1096290a54b45e3a15e53a5b39acc2,aave_v2,424
0x5b144f7f9cf88c762b546766367e2f0a90424acb,aave_v2,330
0xc01679f6496a542250f114d6d8a95c86f9dec63a,aave_v2,325
0x1073a2e63fcbe9acb80b2fc3143a2717be188430,aave_v2,653
0xf7c6e6f8370dd3ab26793fcbd7cf42f1c30de916,aave_v2,653
0x32a5bddb0915a63344788ef4228145f5ed97cc41,aave_v2,653
0xbbb6ef032838fbd280849e7f5f6df326860e6f6b,aave_v2,314
0xefb373e723eabf24bebd17d79d3976e1f7d9ff4a,aave_v2,307
0xf38746dc80af641247f4ca11ece611696806d438,aave_v2,474
0x839d995dbe7f61c1efbb4622158dd9cf3e4996db,aave_v2,377
0xc267da714ddb007bc198cb9bdb722c66e652c687,aave_v2,317
0xefcecbde8a00cfb97f5378ebe71d65475b3dde5d,aave_v2,304
0xcad0b2fed20ce1fd909238deb493a1a93869ee1d,aave_v2,303
0x8a07fa8afa2c54bc47da559a0ab4bc15b43bc897,aave_v2,280
0xa92de6e0c17d4d9f006804b73b7b9726f0ec3842,aave_v2,683
0xb42a9e77b9fe90ae3f97eeab261e1c6f8437987c,aave_v2,271
0xb869561d958ecfaabed692b6c2b1ae37780fda13,aave_v2,268
0xe7a85758f05e13dafbe511b219258349defd42b4,aave_v2,267
0x5a41346ba0c5082543d43810c0f2cbdca158e95a,aave_v2,400
0xe20650cd876a297ab099968a6996ec542abebf10,aave_v2,648
0xa1e2e84ff24358594554fe0cc8e37673d9c3d189,aave_v2,264
