hour,n_withdraws,n_wd_wallets,outflow_usdc
2023-02-28 06:00:00.000 UTC,1,1,1200.001274
2023-02-28 09:00:00.000 UTC,3,3,262958.47130800004
2023-02-28 10:00:00.000 UTC,2,2,776.131068
2023-02-28 11:00:00.000 UTC,1,1,6000
2023-02-28 12:00:00.000 UTC,3,3,211672.422882
2023-02-28 13:00:00.000 UTC,1,1,12511.25
2023-02-28 14:00:00.000 UTC,2,2,900045.6941440001
2023-02-28 15:00:00.000 UTC,5,5,703038.576553
2023-02-28 16:00:00.000 UTC,2,2,17435.3
2023-02-28 17:00:00.000 UTC,2,2,472006.749993
2023-02-28 18:00:00.000 UTC,3,3,2058242.9111940002
2023-02-28 20:00:00.000 UTC,3,3,12954211.293134
2023-02-28 21:00:00.000 UTC,5,4,6211299.114221999
2023-02-28 22:00:00.000 UTC,1,1,38994
2023-02-28 23:00:00.000 UTC,1,1,59317.424752
2023-03-01 00:00:00.000 UTC,1,1,1379435.65767
2023-03-01 01:00:00.000 UTC,1,1,2685078.729975
2023-03-01 02:00:00.000 UTC,1,1,45338507.266613
2023-03-01 03:00:00.000 UTC,1,1,12471483.971831
2023-03-01 04:00:00.000 UTC,6,6,2895478.412571
2023-03-01 05:00:00.000 UTC,1,1,69.593826
2023-03-01 06:00:00.000 UTC,3,3,43086.708902
2023-03-01 09:00:00.000 UTC,1,1,2500300.889835
2023-03-01 11:00:00.000 UTC,1,1,710
2023-03-01 12:00:00.000 UTC,2,2,80000
2023-03-01 13:00:00.000 UTC,2,2,82006.3
2023-03-01 14:00:00.000 UTC,3,3,188846.046432
2023-03-01 16:00:00.000 UTC,3,3,47955.501727999996
2023-03-01 17:00:00.000 UTC,3,3,45582.65479
2023-03-01 18:00:00.000 UTC,3,2,2016033.1094260002
2023-03-01 19:00:00.000 UTC,4,4,261012.295907
2023-03-01 20:00:00.000 UTC,4,2,754594.6221040001
2023-03-01 21:00:00.000 UTC,2,2,145250.601306
2023-03-01 22:00:00.000 UTC,2,1,20000
2023-03-01 23:00:00.000 UTC,1,1,3156.501862
2023-03-02 00:00:00.000 UTC,4,4,141200.584467
2023-03-02 03:00:00.000 UTC,1,1,10000
2023-03-02 04:00:00.000 UTC,2,2,212507.75
2023-03-02 06:00:00.000 UTC,2,2,570261.088154
2023-03-02 09:00:00.000 UTC,2,2,6095.312242
2023-03-02 13:00:00.000 UTC,3,3,15242563.869642999
2023-03-02 14:00:00.000 UTC,2,2,3671236.109719
2023-03-02 15:00:00.000 UTC,3,3,1059364.006311
2023-03-02 17:00:00.000 UTC,1,1,30387.108127
2023-03-02 18:00:00.000 UTC,2,2,17136.564043
2023-03-02 19:00:00.000 UTC,2,1,49001
2023-03-02 21:00:00.000 UTC,5,4,699355.565864
2023-03-02 22:00:00.000 UTC,3,3,7963414.153551
2023-03-02 23:00:00.000 UTC,2,2,1416707.006934
2023-03-03 00:00:00.000 UTC,2,2,45022.5
2023-03-03 01:00:00.000 UTC,7,4,8473141.337689001
2023-03-03 02:00:00.000 UTC,8,4,3411153.7453790004
2023-03-03 03:00:00.000 UTC,3,3,63169.340342
2023-03-03 04:00:00.000 UTC,1,1,39000
2023-03-03 05:00:00.000 UTC,1,1,60620.489611
2023-03-03 06:00:00.000 UTC,1,1,561734.180127
2023-03-03 08:00:00.000 UTC,3,3,3440851.872857
2023-03-03 09:00:00.000 UTC,2,2,23982.278263
2023-03-03 10:00:00.000 UTC,2,2,44500
