owner,bal0,tx_sent_count,wallet_age_days,ran,first_wd_hours,wd_win
0x0ab2cb126acfdd1ef6cf4602e404be5c53119cc2,921387.6321970006,31,117,1,53,2785176.866194
0xdc340d1ab28aaaf4edb02f791a78ff454a6b8cf4,885937.0805529999,385,1907,0,,0
0x342b7a51c264345803d0cb7d1162504e9e378828,867495.725503,167,282,0,,0
0x7b8e4176f7f94ae8828e80c00ffbef456529d35e,831736,0,,0,,0
0x7959895e8b187bb0dcd433e0106287641677f57c,799236,8,608,0,,0
0x94b337fa9314cb8aebed71cf18e543d4e385e33a,784155.093262,128,1911,0,,0
0xb788442a28ecf2e7ed0817b8ed5259ad343625de,761741,19,456,0,,0
0x2c0a67f088815f0b4e057d166b54b0b5e0225986,756253.104447,56,748,0,,0
0x4317e3e478a15c6a5787167206336b968d197f2f,728988.68866,0,,0,,0
0x87e6888935180a9b27a9b48b75c9b779bfec1f76,720093.632162,2116,1179,0,,0
0x5a0aae8a1c54e7127b5f24fd4e92ed6f21830981,715042.272642,14,323,1,49,715522.860119
0x1c2ca609cb72b05a23d1539acba6c594c87e304e,709410.917928,278,548,0,,0
0x1c5c4406ec018b26c62606b339cafdba106e2586,699996.299924,19,13,1,61,2103552.343824
0x65f7a3b8c4444939b243e67e571c92b32b9a1a6b,699175.435832,21,54,1,134,3930
0xcbc6fec3a1df851c56460a7dd443db9b7c1c4582,698341.1232089999,18,121,0,,0
0x80629de4ea833c62597964fd1b09e9d097f9c2b2,681025.609227,2584,917,0,,0
0xef608ed6ccd5b05df6fc48eb2f287632eb1b4268,662030.585542,7,143,0,,0
0xfb239e0df3a98f6b728200c14cb364cfc61dc4bc,659960.204286,1244,1359,0,,0
0xc453526c898e66af4a25d4d486854922be8bef69,659829.650543,318,866,1,52,663955.255881
0x6727ca3fecc183d911d87ed4c2962d5cabfbf2fc,657682.0781670001,19,794,0,,0
0x20536461a7460e6e9447445eee05f76a3c39629b,650000,14,375,0,,0
0xd79b497c9bdf6e0d0fd0e57b9d965d107eec6aee,649181.3306410001,173,1870,0,,0
0x32f5371ff1c114da816c6877e1c6ec1fc8af495a,644797.677333,330,922,0,,0
0x51a7ead10340af963c3124b026b86dd2807c2b1c,636211.298554,850,1049,0,,0
0x15806d64fec840d7c3482d2172e625571e39c140,623761.299523,345,686,0,,0
0xe0b31338384ec1984b34892438ba0947a25ae43d,621202.924431,164,210,1,57,370000
0x3b640748d96c6ec3e0148d41a25a311042e5cd73,609978.764214,0,,0,,0
0x63158ffa98f89a49a50a6e70279d8fc55692daed,600000,48,163,0,,0
0x6b45b74295ed34948df617da9ab360cb6cad4045,599977.0296499999,1203,778,0,,0
0xf1c0dc910ecfb7260e97e79d9e89774dca231456,599726,3170,953,0,,0
0x00ccbdf80c8364643ac6720be73d0b19bba3b27b,599033.023243,153,542,1,100,700000
0x948a5ce308650ccdbfb3298dc5d02428504482eb,589988.210585,7,785,0,,0
0x66721b617dfdbca40dbc1a92fb0907abb764235a,579491.0110129999,1035,1259,1,124,583153.776132
0x3527606b4317bb8b10c66aa19461095376502c5c,575500.01,10,222,1,35,200000
0x0ea1e9ac50ec4d8db153580c2aec1c5ee13c0961,573759.4166969999,1382,1191,0,,0
0xe7a43665677acfc6a3b15f00b68119c486ec56a3,567500.543844,56,722,1,56,300000
