bal0,first_wd_hours,owner,ran,tx_sent_count,wallet_age_days
513840.974458,47.0,0xd236bad6a6825e620d7d1f0f17de2c2231f20ed1,1,213,633.0
400000.0,111.0,0x74577317fe641b3003f49968b9c31e26fa0e7e87,1,0,
2319.039354,,0x333220725f5caf3f93b6267cc5396c9e5b4e7686,0,53,326.0
2950.0,109.0,0x888e38214437b56191a636229a44fa57dd89434d,1,425,652.0
5000.0,67.0,0x59cca25d4b619c92ab1e672d5ab42bb0fe5b5588,1,66,450.0
938.619276,97.0,0x87262c58cff391579ab80879b2fb6d98f36bb3a1,1,13,278.0
163.461856,,0x02e76c933b98c46fabd87fb30c14c7a623319bbe,0,1501,894.0
26176.373568,,0x9a58250bccf7800f87eab22178ea86af7b44ad08,0,85,298.0
1500.0,126.0,0x905a5c7eeed965dfd8c3ee980dae36b383d8f770,1,113,566.0
412882.595963,60.0,0x51ba9d1d64c6278bfbdf3c073d5afbc6c372a939,1,221,175.0
304.099754,,0x76a07dde6b539e53e8ec62240da3cbfe8637c09d,0,42,397.0
12404.693478,86.0,0xa5ffbec16edd0a5983f1ad22e7b7502ef716e89e,1,43,766.0
12000.0,44.0,0xea0ed16746257eb2bc11de2fefd63cdeece23a98,1,492,540.0
101.0,,0xcaaeae16dc4a7f2709fd5e57b6ccd36115833bc7,0,155,438.0
2048.765857,,0x8251001ab4de25b669281a6c2b85149e650b18ce,0,21,70.0
299.515554,,0x7bfa8ab20eb90426acfefa5b7b3d33177a149b2b,0,119,615.0
2296.961518,,0x8332e69cff9b084d3cff0165a9f254cb2dcd98b9,0,169,401.0
1000.0,64.0,0xf617bb2eeb02139dba112086f2c2d37314acc9ed,1,324,269.0
399989.9,54.0,0x58fc6a72e9f8253b24078f097af54a5dacbe9338,1,9,35.0
23254.246915,,0x5909d76dd4858aaa3c1bc8ccd437fbd7d9f10508,0,243,601.0
1178000.0,57.0,0x3b78874e2bf0278428f2e49df04c071dee2b8e5a,1,0,
146310.0,,0xda219df1377e14977d67a19cfce127fdd50a8027,0,12,271.0
