owner,n_sells,usd_sold,dumped
0xc882f24ad9752aa28b495c4582c8e5d35efb66e8,0,0,0
0xa48236b2e7d187dd389518cc1fd4de22f6ffbc43,0,0,0
0xd6d2f309aa7fd3b0039692238353a671e4c23c87,0,0,0
0x08e86424142d0de800d42b929ac287776833a5e7,0,0,0
0xb18388035e86b06156d8232c417541efbde13189,0,0,0
0xb1adceddb2941033a090dd166a462fe1c2029484,0,0,0
0xff0c29d39b98d7caea5259f35325a2dca643491e,0,0,0
0x80f6351787c8ed2aa155e0c3facd1bac25e98c80,0,0,0
0x6e7c899d69000e0470e97c842ebbc5ce50ceed82,0,0,0
0xdb744a5853a0a8a81feedb4efd5f69f0de6825ff,0,0,0
0xcde850e02a5d1ebedb5e1d2b177af8770354fdb7,0,0,0
0x3a516707c6a34a44a02c608a11f73351269dc6c4,0,0,0
0x9c607b86844812176ccea1b84fe1452adda153b8,0,0,0
0xdd958c95185626007c1a55c9d02b4e2b275c41b7,0,0,0
0x5241f256a0d445509a54ae7d0d978b0ccad04174,0,0,0
0xe21a047df24c27f21b317f6e9eef2a81f078830c,0,0,0
0x18e3b2b3f7b08691adfaa4a4cc027ec6c1c59863,0,0,0
0x3f000000220000003123e705f0d5fd5d9a53b190,0,0,0
0xe6f17630570560925cdb93141b5f08834a3899cd,0,0,0
0xfbe4282f3dc11b2bf107a6b61ce5c208d7cba730,0,0,0
0x63fb96a4e76b085688ced34b18d17a2e20f9f590,0,0,0
0x9005fbd4adbe59126cc19b03033c9a13e0a85b5e,0,0,0
0x273c033f79a7dedceff81f1042501eef7805c874,0,0,0
0xeda2159a6e2d1f2c24bc9bdde075619e01017e77,0,0,0
0x7dcd3dc1b1cebe4e901f085abc18f673c5f1b4ca,0,0,0
0xfde3ff284d35b5cd0dae41c148fc79c7725822a6,0,0,0
0x7182a1b9cf88e87b83e936d3553c91f9e7bebdd7,0,0,0
0x691cfa5f0f105fc92acf830844f290ad9b44c23e,0,0,0
0x32b65677385d21a69883535c4034db5f4cde9690,0,0,0
0x16836f36e4f378a2173bc4c0dceac438bee88581,0,0,0
0x9e205bc57cc11ea4e38d12e0de43e923b61ba236,0,0,0
0x84c38ccf25b8f1c5290a6bdbf6f37af0b5d66f00,0,0,0
0x14ff0bc9417b6796f79768729002a793b51205b8,0,0,0
0x1eab83e03ddb2c6eec24674505ecd01823d994fb,0,0,0
0x7e0404ce142e123dc865c680f621d8d2f788cea5,0,0,0
0x5a673293ec90e965bc57e5001a439bd7275eb05e,0,0,0
0x04c4a90801d1ef5ae8576a0a5bdd8eeab362a644,0,0,0
0x9999990bc03c67e331c92fd9275f8dbf2354c723,0,0,0
0xca67f76bccce3f856fcd38825e3afc43386ec806,0,0,0
0x633c1b41ca49bc68e881e96cbf34d23e47a956b8,0,0,0
0xad685dd2ca73ec687753fbaf25910872ce3a26c6,0,0,0
0xcce84676f4fdd7bebfd21f428704c01d217bf982,0,0,0
0xdf73e3cf292ff831dd985edec0cae9fae764ddd6,0,0,0
0xcfc1ae8149877c9401874b34c304782d9746cb3a,0,0,0
0x3b485db96b4d995862ba0173e7d90e21cea1f687,0,0,0
0xdeb7c59d79bee05efab922d72f64ffcec16532e8,0,0,0
0xd855fb4aba8216b6cab968dc2366e96ab9a94264,0,0,0
