day,inflow_usdc,outflow_usdc,net_usdc,n_deposits,n_withdraws,n_dep_users,n_wd_users
2022-11-29 00:00:00.000 UTC,9205964.064261999,1895439.338529,7310524.725732999,11,20,10,16
2022-11-30 00:00:00.000 UTC,2149136.8625490004,3303447.8728580005,-1154311.010309,14,26,13,19
2022-12-01 00:00:00.000 UTC,2419775.700185,1464795.098507,954980.6016780001,11,15,11,14
2022-12-02 00:00:00.000 UTC,2554902.041936,333500.071408,2221401.970528,9,14,8,11
2022-12-03 00:00:00.000 UTC,40626665.918585,5687945.026548,34938720.892037004,10,16,8,9
2022-12-04 00:00:00.000 UTC,134156.416789,602628.422812,-468472.006023,7,11,7,10
2022-12-05 00:00:00.000 UTC,37071.467084,1128294.928782,-1091223.4616979999,13,20,8,15
2022-12-06 00:00:00.000 UTC,3358650.6869659997,1854161.7315159999,1504488.9554499998,13,14,13,14
2022-12-07 00:00:00.000 UTC,3898.7477549999994,5046565.547415,-5042666.79966,10,21,9,19
2022-12-08 00:00:00.000 UTC,1311660.41035,1007055.4771349999,304604.9332150001,18,18,16,18
2022-12-09 00:00:00.000 UTC,4175356.702948,28100,4147256.702948,7,3,7,3
2022-12-10 00:00:00.000 UTC,54813.221711,110135.3642,-55322.142489,6,7,6,7
2022-12-11 00:00:00.000 UTC,3951722.673781,29351.082128000002,3922371.591653,17,10,9,10
2022-12-12 00:00:00.000 UTC,4246267.960488,705069.772216,3541198.188272,13,17,11,14
2022-12-13 00:00:00.000 UTC,1663356.136819,4273309.1923940005,-2609953.0555750006,6,20,6,18
2022-12-14 00:00:00.000 UTC,1799173.05219,3329526.385185,-1530353.332995,8,25,8,21
2022-12-15 00:00:00.000 UTC,29202.480928,177392.47456200002,-148189.993634,6,14,6,11
2022-12-16 00:00:00.000 UTC,1046795.913491,372728.25081800006,674067.6626729999,26,24,20,17
2022-12-17 00:00:00.000 UTC,1244777.195594,2695733.296493,-1450956.100899,13,26,12,18
2022-12-18 00:00:00.000 UTC,3875352.8802569997,58473.413426,3816879.4668309996,11,12,9,11
2022-12-19 00:00:00.000 UTC,3492868.855682,8941645.183115998,-5448776.327433998,23,16,16,13
2022-12-20 00:00:00.000 UTC,1071489.744586,4323202.423596,-3251712.67901,7,13,7,11
2022-12-21 00:00:00.000 UTC,75156.090293,1120679.066234,-1045522.975941,14,12,10,11
2022-12-22 00:00:00.000 UTC,6876129.671295,6853174.759927,22954.91136800032,15,14,8,11
2022-12-23 00:00:00.000 UTC,34460.685392,227104.433937,-192643.74854499998,5,10,5,9
2022-12-24 00:00:00.000 UTC,775492.792873,366871.86539399996,408620.92747900006,16,16,10,12
2022-12-25 00:00:00.000 UTC,871814.1967679999,917014.002754,-45199.80598600011,6,8,6,6
2022-12-26 00:00:00.000 UTC,640839.618512,1240625.769024,-599786.1505120001,6,11,5,11
2022-12-27 00:00:00.000 UTC,50695.36732,539094.425499,-488399.058179,15,19,9,13
2022-12-28 00:00:00.000 UTC,659665.387069,505711.22556999995,153954.1614990001,12,15,12,13
2022-12-29 00:00:00.000 UTC,461057.38534200005,963883.244423,-502825.859081,10,14,8,13
2022-12-30 00:00:00.000 UTC,985121.872302,794792.2589629999,190329.61333900003,8,16,6,11
2022-12-31 00:00:00.000 UTC,1941697.265438,938439.2169369999,1003258.048501,7,6,7,6
2023-01-01 00:00:00.000 UTC,44068.33003,205959.214576,-161890.884546,8,9,7,8
2023-01-02 00:00:00.000 UTC,1077905.641767,3374978.790698,-2297073.1489310004,6,10,6,8
2023-01-03 00:00:00.000 UTC,151485.46434599996,559879.241793,-408393.77744700003,11,20,8,18
2023-01-04 00:00:00.000 UTC,4889.293814000001,86723.12706,-81833.833246,6,15,5,10
2023-01-05 00:00:00.000 UTC,381312.75218,1525910.662115,-1144597.909935,13,21,13,14
2023-01-06 00:00:00.000 UTC,4395711.147305,2550650.065814,1845061.0814909996,11,13,8,12
2023-01-07 00:00:00.000 UTC,698590.699967,1134568.630878,-435977.930911,21,27,8,9
2023-01-08 00:00:00.000 UTC,1042441.427963,10084.766972000001,1032356.660991,7,12,7,9
2023-01-09 00:00:00.000 UTC,715239.187437,4747868.522329,-4032629.334892,19,55,11,34
2023-01-10 00:00:00.000 UTC,3112906.7527699997,13901986.822327001,-10789080.069557002,19,17,14,12
2023-01-11 00:00:00.000 UTC,1999724.227214,2290822.115297,-291097.88808299997,16,24,14,17
2023-01-12 00:00:00.000 UTC,6285079.4407589985,5316211.234519,968868.2062399983,31,52,15,32
2023-01-13 00:00:00.000 UTC,2756710.001312,5412783.9415420005,-2656073.9402300003,10,52,9,32
2023-01-14 00:00:00.000 UTC,3857402.0880440003,2880648.1091990005,976753.9788449998,23,53,22,34
2023-01-15 00:00:00.000 UTC,766184.892446,3956138.912095,-3189954.019649,11,27,9,22
2023-01-16 00:00:00.000 UTC,4677602.731833,1876364.430803,2801238.3010299997,24,26,22,18
2023-01-17 00:00:00.000 UTC,2037669.707677,1996653.044748,41016.66292899987,16,22,14,21
2023-01-18 00:00:00.000 UTC,1774606.4063410002,2449868.1251560003,-675261.718815,22,19,14,15
2023-01-19 00:00:00.000 UTC,3031193.02178,7649948.797463999,-4618755.775683999,21,37,15,30
2023-01-20 00:00:00.000 UTC,2688733.7475390006,2989174.5974549996,-300440.849915999,14,34,12,25
2023-01-21 00:00:00.000 UTC,5588593.216925999,4159488.7149030003,1429104.5020229989,30,49,19,32
2023-01-22 00:00:00.000 UTC,1039812.3753789999,9448045.217704002,-8408232.842325002,15,20,15,16
2023-01-23 00:00:00.000 UTC,2297925.041012,883262.2558369999,1414662.7851749999,20,38,18,24
