market,owner,role
compound_v2,0x55826be0335fdfd7363118b2c179e98da9b05f95,receiver
compound_v2,0xf8049c8425f9eab4e2ae9e1d950f9d3f71481882,receiver
compound_v2,0xbe11ac1a02ddfb6d8e8393218164f9ece884fce0,receiver
compound_v2,0x7d9dd5cf92842a4c38048ecd8f16d2a19cf0f3bf,receiver
compound_v2,0xbe9b7c87a41cc14975102c647f494ac11daa3ea6,receiver
compound_v2,0xaa335fee01ad281bad266998101eb41e73d70901,receiver
aave_v2,0x0d1d3904307c027807315581cd458beb4a4623f7,receiver
compound_v2,0x993577354553a0d36da31b3af01775c8a856f72b,sender
compound_v2,0x528d2565f1d463c820288fcb74bb36eefa00100d,sender
compound_v2,0xfcc5dc22eea35530faa25b10a54d54ec3bbd149d,sender
aave_v2,0xe2f6659e0209c3f79132abdeb95abeba0f1f672f,sender
compound_v2,0x44e5d675bc7b2585fd2c1e025ec1232c43d476b7,sender
aave_v2,0x90a2e60df1f4c09558bd48d0836025ece5a418bd,sender
aave_v2,0xbbb6ef032838fbd280849e7f5f6df326860e6f6b,sender
aave_v2,0xf2e63f54194f1a0825f624f2347bc1ce5fce68fe,sender
aave_v2,0x70c6106d59d3c47bc42e494ebd52298d176913ae,sender
aave_v2,0x1d03927a4f08628accd208ba65cf7c96180602a7,sender
compound_v2,0xdf0cebe6acd5ffa1596551d58195053bba433385,sender
compound_v2,0x52ad87832400485de7e7dc965d8ad890f4e82699,sender
compound_v2,0x14f4f76cad9cc88ee2e710890eea7a78b8f3c339,sender
aave_v2,0x29432df68851aba455bf0097728422b39fd76648,sender
compound_v2,0xc095976bd18181f28626c5d48372debd7a8ce8d4,sender
compound_v2,0x0ebab19f412e1afd2b90842e5c632aa186a4f60d,sender
compound_v2,0x414582a7b50a7ad62d669e8157942c6e3539fffd,sender
compound_v2,0xc950e755c466fea3ec1462a14db9642cbf20dd45,sender
aave_v2,0x15bf4424522573e068e5aaab7d91cec142243330,sender
aave_v2,0xbd77c784614e95bff7c1511aa8f4c46a2d19f134,sender
compound_v2,0x762bb60be9460754dff50275d23e742e33844491,sender
aave_v2,0x46891da2185aa8691b1cca637cd32a54a998d690,sender
compound_v2,0xeb5d3a91b5e721fa251e03bda2c9578e90f30f84,sender
compound_v2,0xdf36afdd8cbe4d44306ea04678f18837863f9dd3,sender
compound_v2,0x7000a76f3235ab942d1a7cad4bcbbcd4b4310266,sender
compound_v2,0x55395ab1e65c8f749222b41f6d073a92f0463549,sender
aave_v2,0x36e3d458c797dd68791de1ac6e95b2d23fa1f5de,sender
compound_v2,0xadc46c5e46c31dc0e0ecf966b72e72b9b90a6c81,sender
compound_v2,0xe780cae819d0d8547ed847839224f666bc977131,sender
aave_v2,0xc67ea3cbc79aac80c8b95c8665d509a5fc18e715,sender
compound_v2,0x2f53837a9ac4e8b444979ac637f4730eaf43e5a1,sender
compound_v2,0xbaab83de8dba764bf02a530cad33555bd23eba22,sender
compound_v2,0xea5edef17b9c91152e01c23a66affa7570047a84,sender
compound_v2,0xbdaa8335e1654551bb943f2cc03cc3c907437bcd,sender
compound_v2,0xb6d94226eab23ac1602113bae51e0f37d92a50bf,sender
compound_v2,0x4e250d343e6e0d235b890e9875ad631c1e575325,sender
compound_v2,0xfadc66587d74e988e3b0b0cd70b4166ac796cad5,sender
compound_v2,0x2efaa68ca4aa91343be91d09c8548c53f217378c,sender
compound_v2,0x223e9abdeb21f2ca553a35cd6b56ac972a0a74bd,sender
compound_v2,0xd7925984736824b4aecf8301c9aee211cd976494,sender
compound_v2,0xe0b5b1dddba731771419cf087528b08f26002fe1,sender
compound_v2,0x998eeba059371243b8e049a9bce191a00e5a669f,sender
compound_v2,0xfbb32b1a70bec03fabf281329f888e439fdf11a8,sender
compound_v2,0x19ea302761c7ca11d4252f7e9ad2ca199d0e0380,sender
compound_v2,0xcfe638ac45cc776cda727b3d388bc7bf0219523f,sender
compound_v2,0xdc2e0ecb28f6dee436f09c896f989c0156077fd3,sender
compound_v2,0x5c5b9a8e3c65885a26803aeab1d5e15466b646dd,sender
aave_v2,0xbffe9f99252a0f5fca4de7394b6676af035d66b3,sender
compound_v2,0x47945e744d4d1c4770e0e766c9c14619976ecb66,sender
compound_v2,0x4a731a8fb18e263c4af160912b7d86819d31c16f,sender
compound_v2,0xfa6f2d8c931c333a6c2cbf9e3ecc72baf0f1e40f,sender
compound_v2,0x3c99205162f134499301516702c6cf7438d5dcb9,sender
aave_v2,0x3ebe21a893b151563b5a5e4d2fa8e9de4428c103,sender
aave_v2,0xa28258957a40ae479d8b1c620ec6e3e09334ec4b,sender
aave_v2,0x1dfa6fbd7615e2a5e7021fb5169f3bd9d1a1b9bb,sender
compound_v2,0x61c808d82a3ac53231750dadc13c777b59310bd9,sender
compound_v2,0x99c0def9b27d1875458f04038befacb7f7cac0f1,sender
aave_v2,0x85cf746d3b613ea225a5721807d2b4e94138557d,sender
aave_v2,0xfd98a168539811ededfbc50ff4534ff8e6e7d66d,sender
aave_v2,0x3a348c39829d88b887a3c323758196e0a3f9a292,sender
aave_v2,0x81ece5f3a3fdfb4964b9cd73257e4ac831f50b02,sender
aave_v2,0x17850e9bf2db5ba14ce412962471f526f2b8f331,sender
aave_v2,0xb01f672ace452cae515af68fe44a914539686f0c,sender
aave_v2,0xab0d6b3ca13f312ce97f4e0a31975d15e1a4e14f,sender
compound_v2,0xec7fe1bbbc4955836bd54d23088a91e5b4b32b77,sender
compound_v2,0x81398d2ef3ecf702170a185c271aec5e8a4ef787,sender
compound_v2,0x0361c48c3a30ac175426a1fe50ccd51a1c515a24,sender
compound_v2,0x25cd796b9594505de420a9c30cde39d2c4802bcd,sender
compound_v2,0x48da1ad85dc6f56a1cfa0d817d53780444ed6f1b,sender
aave_v2,0xba13e0bf1f494e8e758d276ec256484a372a5646,sender
aave_v2,0xaf4e0fe30ec67d6957f89815a044d7d49422a8d2,sender
compound_v2,0x3963b9085ec54ec48516b1f3c83e329475558a6a,sender
compound_v2,0x8e1d717b01193f971e4bf123a8257c6bcd7916fd,sender
compound_v2,0xbae71e2c25ff819222649e503b18086b52f4b8d3,sender
compound_v2,0xb20dc70d70db0265f5531b191e82b509e9ddeb1b,sender
aave_v2,0xd4e26683635bf3dc9ead5f31b935c33cc1ce1838,sender
aave_v2,0xb62daf62331945194046fc9e06d012eafe6058d6,sender
compound_v2,0xd814e1b7cc203ff6ca4358bf4aa3ce9771fedc68,sender
compound_v2,0x6127cb39ac8e6066c469ace0edcc3506feaabf94,sender
compound_v2,0x279a3fdbd6d6252afc5c422439c7d7859a51a05e,receiver
compound_v2,0xcbf213a54f2694a6f49478023c37961af2eadc66,receiver
aave_v2,0xbb955a01dc7dd9c1db5a83f554000799aaa38cb5,receiver
aave_v2,0x03f2b3ff6c8dd252556a0e15b60f9d1618dddf3b,receiver
compound_v2,0xf2c1b84d31712420d7bb6ecfa721cab33c1171ab,receiver
aave_v2,0x472d9a5a6e407e3a90adc3cf5d0f5274ded64c66,receiver
compound_v2,0x3584edc284e153462ef2e831ecb51ec501715ae7,receiver
compound_v2,0x677f6aecbdabb57e0853266ce3f214b239bf85d0,receiver
compound_v2,0xac25a5d2056f52749f1015b52c0fea55cc3049fc,receiver
compound_v2,0x93bfff001ee5d39cbd39d30df42617b84b1d2cad,receiver
aave_v2,0x995ffd03555da945592314dd9333ff15fb5631af,receiver
aave_v2,0x120e92eba89ee1ee558d6c3eeac3e3c24f61daab,receiver
compound_v2,0x2532536c55aba7a13afe86a03896efd0c7e4185c,receiver
compound_v2,0x9f21760651c9219d37b3142438ee3061f26788a4,receiver
compound_v2,0xe0ad79cdd7d049c9c12afcbffa33c58e118c48b0,receiver
compound_v2,0x1146f36cf74fbb2971dcda652d0a3f4289a39d53,receiver
aave_v2,0xa86bd8539cf64ab5414bbcf32627b7f03f01e1a0,receiver
compound_v2,0xdd9f24efc84d93deef3c8745c837ab63e80abd27,receiver
compound_v2,0x860b458fe8c688bb9661d20717aed000bed04c40,receiver
aave_v2,0x68924bc68ff1357a0a08a20c64d538d9b9241574,receiver
aave_v2,0x90a2e60df1f4c09558bd48d0836025ece5a418bd,receiver
compound_v2,0x2d895d433677c05e8a53efb8386aee5117228466,receiver
compound_v2,0xfb06adfb950188a39d19e2db800a1ffb8e20bbcb,receiver
compound_v2,0x30d882151cb0426405e8d6092e33a614f4289d7b,receiver
aave_v2,0x09946a425455b086dd400accf4332770c2e6b8fa,receiver
compound_v2,0xe541375044802f237a7d8d6e1aac685ee98bfb1d,receiver
compound_v2,0x0ebbdb82ebc60a3b3f3478e4258cd983cdf22179,receiver
compound_v2,0xba766908cec8afbc1ac7efc3ab4608642150f275,receiver
aave_v2,0xf8f26686f1275e5aa23a82c29079c68d3de4d3b4,receiver
compound_v2,0xde8569ac464716ffe4c55c42c1fef0f34ffbcbe0,receiver
aave_v2,0x5512aef09c277c72e1cf7e6d87c8742ca744fd26,receiver
compound_v2,0x076bdb45dda85ee32aea6eadbfab1a1e5e6191db,receiver
compound_v2,0x3e48ed297c2cfcb2f19ae6f2d2fd7d11b415ead7,receiver
compound_v2,0xb54d7a3b85fc45bd39f85a2f544c4bfead19525e,receiver
compound_v2,0xa20d5bae495a8d634886ac87c3727f04fe807749,receiver
compound_v2,0x3968ab963fa6cabacf4e3616f4903c6c8e967f89,receiver
compound_v2,0x4f99632a3ea59a7197ac566a7976d03f51293ec7,receiver
compound_v2,0x46c59331a846bf7c8abb4e807380b9ff7c2e922b,receiver
compound_v2,0x760984dab35a7763c9b06c7749d565ee215bf0c1,receiver
compound_v2,0xcd46d6dd8be6bdb4084309c5f19b4bf0bb34722a,receiver
compound_v2,0x752cdfdffaeebe73bb1388f69f94553ade64c988,receiver
compound_v2,0xc88c32408b8218897474cfcb0746aac0ed134657,receiver
aave_v2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,receiver
aave_v2,0x7404becad09351583443720f8f520f689e93359e,receiver
compound_v2,0x6a8cda8970a552d255c7530b4fabc4d86d5022bd,receiver
compound_v2,0xebee3148cfeb972a58a24fdb67444699fb75e024,receiver
compound_v2,0xd16fda96cb572da89e4e39b04b99d99a8e3071fb,receiver
aave_v2,0xf7b18e107eb36797f4ce36de756630b9c30969ad,receiver
compound_v2,0xef29a26bc8cf2c937d0f093de966fb6678fa038a,receiver
compound_v2,0xa5b0c665e95545604f0a1dd0e3ecd857a9c2d2c9,receiver
aave_v2,0xa61440b624c1f40189a7b494afb49b1a53b1a998,receiver
aave_v2,0x86dd1daed95b7bb04f57123a291d07247970c707,receiver
compound_v2,0x9276bae93adf3e0b55228d20587e72f6f8014bb3,receiver
compound_v2,0x47945e744d4d1c4770e0e766c9c14619976ecb66,receiver
compound_v2,0x5853ed4f26a3fcea565b3fbc698bb19cdf6deb85,receiver
compound_v2,0x8be8247ef3a329b06cf3ce3d5b8ad3ca3ed642c0,receiver
compound_v2,0x4b3eec94a3ca0675a7b809b27d0258817db4cead,receiver
compound_v2,0x6044e3073a8baea66b331a38e51a4bd0e63d148b,receiver
compound_v2,0x84d9bfb8ed1ad12bda502e67e56169bcfb1369c7,receiver
aave_v2,0xb4cfdd7ee4383f9c84aee0d50d1b5cc4c237a487,receiver
compound_v2,0xff9cffe09a79651a3311df1ae754dd9447cdf330,receiver
compound_v2,0xc5a1b96bee388bd77fc1ca9d92cf61bea9f4ff2d,receiver
compound_v2,0x008b1ffe244bf31896c833bff4ad9009e7a0f4eb,receiver
compound_v2,0x8e1d717b01193f971e4bf123a8257c6bcd7916fd,receiver
compound_v2,0x69669ec613843ed7a484adb409c20f486871f443,receiver
compound_v2,0x43a53b9112bd6c89779de799f2adfc405f16ae97,receiver
compound_v2,0x0875493a6713f5fb7dbd624ad2c88720165bd625,receiver
compound_v2,0x53f05a51cf87ac0affc67a52d8110ffe824580ad,receiver
compound_v2,0x18f065729dbaf490a6887ee16e580c957562a495,receiver
compound_v2,0x481149d3e74fe9a0f852c9acdeedc69cbe9019cd,receiver
compound_v2,0xb20a327c9b4da091f454b1ce0e2e4dc5c128b5b4,receiver
aave_v2,0xd9c59e1f1a98aa02420b39c3c7dd5cdb396a3a2f,receiver
compound_v2,0x10a92189448c1d8723f7d40c8948597cf71af26b,receiver
compound_v2,0x75981f0b32b1f78a45a3a142092067ccc774c0a9,receiver
compound_v2,0x334ff7580ee92bb13d744cd309925560877122a1,receiver
compound_v2,0x9307b5737c44fce3aec83c6b3ac91e2576a5716c,receiver
compound_v2,0x4a0e9251f733ac3908e20bdec1852cca8abe64c9,receiver
compound_v2,0x954852e7625ea4307bf168460a9c1dbd41de9f7f,sender
compound_v2,0x5b139f6f84165e3b01e809052da2c920945f1633,sender
aave_v2,0x6dd393b2648658eb0c048ed7d16b1b6b1f1f8aff,sender
aave_v2,0xd18ff6cc6083826d27557f86ed4599310c8e7108,sender
compound_v2,0xe786a707317ddd7566b82eeda41328f09e3bff87,sender
compound_v2,0xdbd8920e2e4ff61cb2ee6508e585e08a2446d546,sender
aave_v2,0x43a167c2efdc7b137bea81d5a366d42a5d398b6c,sender
aave_v2,0xf8178e659d868db2bfdac8b10669ae62b68c2847,sender
aave_v2,0x452d8cfe42e9dad07e1587bdd2e3e0a37aea1061,sender
compound_v2,0x8281a9d10d9963758cca52947fbc05827d96aad7,sender
compound_v2,0x9002706403cb578180a9123d99e6f637b76856b4,sender
compound_v2,0x98561c67f1f59708ef790203b4ebce971a77ea54,sender
