owner,ever_borrowed,n_borrow,n_repay,net_open
0x4e510aaac1aa1ffc0137182c521e5f7b2494a749,0,0,0,0
0xb895d47db05e057e0ac5fa3456f3d0f58313f71a,1,1,1,0
0x3f20b9f8f4b459128c5b40565ce8aa05a625066c,0,0,0,0
0x231919835aa6c37092ba56200e477a39d31f25b2,0,0,0,0
0x8e159f764382ba46ecf34fa0ebcc0c9c664a414b,1,2,1,1
0x4094adfab3366ff9b2a28b69e691e93d73b5e64b,1,28,22,6
0x03c8060e6e38097ea6abb22242f7e2280485c438,0,0,0,0
0xa3e2330e4fa9bb23d7eaaa3628b2c1906eead200,1,42,12,30
0xe3431e7a6ac7c814286f69592bf8605bf21d9d82,1,1,0,1
0x03a8be734a18c1720b8959eabc4470336f56b1ed,0,0,0,0
0xcf81ddc75c1afa46eeed5f6dea31ff352c0d3d2f,1,7,8,-1
0x9657619143f69915fc19745d7e8ca57461a42a19,1,6,2,4
0xc7d9a17f9841295ccdf196c5b6c9915b0e93603f,1,2,1,1
0x14050ecd612907b38372396fd7d368137906dec4,0,0,0,0
0xfa1fcccb68941e9111d4d9f8af6c739dd062ba5b,1,1,1,0
0x3f060e7190663c94e147167c4e35508892eaf4ff,0,0,0,0
0xb9247e730bf4aefb0e44d0fc9ff0ba5d21bb57ed,1,16,39,-23
0x540b43d387bf43b546b77c475775617fc130a5b1,1,3,3,0
0x4e3f9fe856cf1d909ca2521b18ec5ae310d514a7,1,2,5,-3
0xdd72e6ed9359e920ab36079879d9bb9a48b67f2d,1,13,4,9
0x0db1e9e97ba5b2a153ced003ddccf3e8581bdb85,0,0,0,0
0xd9b1074c012353a1b4565658d973d62ec62534a9,1,1,1,0
0xb5969281a73249c6cb7d552cb4819f132dc0a01b,1,6,1,5
0xc11b259af1b7791ee1d78b19d35a3caf1fd90cbd,0,0,0,0
0xe17f390551f925b8e31c66df670a07fea9d93d90,0,0,0,0
0x4b252ab7fb2080850598db600c08a4f995250e12,1,45,40,5
0x8922353c969ab34bd6fb0a9b9e069dec56f1647f,0,0,0,0
0x88ea96d84f1a12f6cdb6f404d23f400dcdfb49a5,0,0,0,0
0x8aa89c93369f20b7fd2aa9d2c5b64f8f90302862,1,1,1,0
0x0f29553ff5e456fe845ca8196b4a3dce0a8db352,1,2,3,-1
0x761b6ac7885f98f3553e576d88dc2c3e7c119701,0,0,0,0
0x824c592737e7a1667e9b30ad00a05332c10e24fd,1,1,1,0
0x182a8fe09a47d5752cd130d18f5a09b18cf8185c,1,5,1,4
0xafc68fea4556ce538a27804ae82f7e601df38bfc,0,0,0,0
0xa3722b0df43e0349517cbe969adfafef49aa05dc,0,0,0,0
0xba6125403d8c1ae939c6826d09a8643b921de9c6,0,0,0,0
0x9315cdb9dc37550f42b12a183de7b5a7876dc9f8,1,2,3,-1
0x1a34ca24ba989b784e48b1b17cd663e0cf178cc0,1,1,0,1
0xcee6e89b99ed58ed32ad83ba339c98c32e6b079b,1,8,6,2
0x75520128faa11447200d99b627efc254c479fc97,1,172,97,75
0x8579e8ae97113d3e3973348c4f50fe9f400faf46,1,8,7,1
