ev_in,ev_out,market,owner,pl_out
0.0,0.0,compound_v3,0xc945552e5e0be5546df0b64ce7ba98af009e0cf9,0.0
0.0,11022.693656,compound_v3,0x90478b3be576ddaec4897817648e3c3d13f39ee0,0.0
0.0,10108.274233,compound_v3,0x7d96a6f41fd31c7624f7069415be58b5e3576d34,0.0
0.0,0.0,compound_v3,0x20707d089053ac5136a2fa5ca259d057509e19bc,0.0
0.0,0.0,compound_v3,0xc926ddba8b7617dbc65712f20cf8e1b58b8598d3,0.0
0.0,23956.798202,compound_v3,0x98cd6cf577e18ba8a3ab56ccbda552e7796555cd,0.0
0.0,0.0,compound_v3,0x4c6cbd6ec37f928d3ef6aa0fa8abfd9a92c61936,0.0
0.0,0.0,compound_v3,0x64285a547a12c462aaae2facb1198b03ff1107d3,0.0
0.0,87521.427113,compound_v3,0x20e6a22a14ae89964ab72b57d5f5ad9b601387ea,0.0
0.0,0.0,compound_v3,0xabb9ac1f97fb9b40a538b41f7f5e3681d4495be5,0.0
0.0,0.0,compound_v3,0x5a2ebd3ced212acd3d3c72f62d66affc64ccbc4c,0.0
0.0,0.0,compound_v3,0xcffec7d1198d461ef34dc4ef315fc58a4dd2556b,0.0
0.0,0.0,compound_v3,0xb4f19729014a94732e965ab197a6a7255f190faa,0.0
0.0,0.0,compound_v3,0xe5350e927b904fdb4d2af55c566e269bb3df1941,0.0
0.0,535.825637,compound_v3,0x7524abf28bf53c8a85ac8989b254da280bd68b0c,0.0
0.0,18095.291291,compound_v3,0x34fa64e275a2c4a64ccb97701bcdcef8a3e91d60,0.0
0.0,0.0,compound_v3,0x606420fc17e08ce7d85a5068cede5542c0e47128,0.0
0.0,0.0,compound_v3,0xfebeea78cd06b1a62fb1d5374d8515678c64d163,0.0
0.0,125549.102313,compound_v3,0xa5f85b7bb0e3ff419cf0c6a852accd49265c5e45,0.0
0.0,0.0,compound_v3,0x6139c4ec60f1184949a4b7ba33a5e4929fc37bf0,0.0
0.0,0.0,compound_v3,0x9452244fcd1acd78ed22776e1f8bcdd63bb0b074,0.0
0.0,0.0,compound_v3,0x4373380e0c97f61658d763fd2c322d19844f49b4,0.0
0.0,0.0,compound_v3,0x654fc3a347f55df6838d3c8731ed72bd274ff8a6,0.0
0.0,0.0,compound_v3,0x0fb94e38e7a34b9e522e753803027ecdc0ef4a02,0.0
0.0,0.0,compound_v3,0xdf3b5d3f34df81a4416f1908f6ae1d48b8a8e7ae,0.0
0.0,25045.605331,compound_v3,0xd5ff53724c6b8fe007693dcdf1ea454f155cd476,0.0
0.0,0.0,compound_v3,0xbe81ad8fd494a11ecd2fe25f2d52d731a8cbd7ee,0.0
0.0,0.0,compound_v3,0xe464e9b009c0e8adbe9f3d5098e741761988c5d9,0.0
0.0,0.0,compound_v3,0x638e9ad05dbd35b1c19df3a4eaa0642a3b90a2ad,0.0
0.0,0.0,compound_v3,0x48d6aaefc242078ff5f5fea63e71b98dd5068818,0.0
0.0,0.0,compound_v3,0xa8bff2d050cee7b90c1040f17109fc89d2ce1bcb,0.0
0.0,0.0,compound_v3,0x1dc30adbb46b60dab0f321662c6565f3db044588,0.0
0.0,0.0,compound_v3,0x8474c43970481015019819936793ddc210a0050e,0.0
150000.0,140659.704011,compound_v3,0x4a0880e040837b1c2b3f3589f3570c3b20dce271,0.0
0.0,774219.453595,compound_v3,0xc5d72d1ae1e460a8804489326985345ca060db5b,0.0
0.0,0.0,compound_v3,0x3073ac44aa1b95f2fe71bb2eb36b9ce27892f8ee,0.0
0.0,0.0,compound_v3,0x6bd263a8ce79750c4f5a4b428dba69f698a0a897,10000.0
0.0,491921.397467,compound_v3,0xbc8dafeaca658ae0857c80d8aa6de4d487577c63,0.0
0.0,0.0,compound_v3,0x933258bddd49beeca77f6d1889633c5429af45ea,0.0
0.0,30310.316956,compound_v3,0xabea0e3e392bac621054303ef195fa54c5b5ca9e,0.0
0.0,0.0,compound_v3,0xd244ccda0d873d5b00273f0121ac25d9e80e547a,0.0
0.0,0.0,compound_v3,0xff32e57ceed15c2e07e03984bba66c220c06b13a,0.0
0.0,500662.162434,compound_v3,0x9feef5f51fdb694374e3d7bb3a8330631d298bfa,0.0
0.0,4019048.969009,compound_v3,0xa2dfaea03bf2140cab99e3de9f23f568c850b76a,0.0
0.0,151529.160315,compound_v3,0x256bbb6c87772071caae1c615f37735150ba8245,0.0
0.0,1816.0,compound_v3,0x404c37c74fc1303d96e0946985a16d2663303771,0.0
0.0,167399.286747,compound_v3,0x846bcc1354aff98f128809077d706bf234241194,0.0
0.0,491407.997484,compound_v3,0x8c81ce5a6f4e1074b080979e31f667721b3b3e0b,0.0
0.0,0.0,compound_v3,0xabcb83117c875419ab026d65b9a37978c6a87427,0.0
0.0,0.0,compound_v3,0x81ad046ae9a7ad56092fa7a7f09a04c82064e16c,0.0
0.0,150054.186984,compound_v3,0x25f2f439fc9d71cc8e497860085f98e29ce47b5e,0.0
0.0,501586.12923,compound_v3,0x346100378e0c0edeaafecdd861e12b656eedddc0,0.0
0.0,0.0,compound_v3,0x8ff736827d6521502e3fddc1d9096e12e8832067,0.0
0.0,0.0,compound_v3,0x7eb12f04effc4901d7520e4ebd62de512743feca,0.0
0.0,0.0,compound_v3,0xd8a334f636df76f83661f3deee8fbae2fd10151f,0.0
0.0,0.0,compound_v3,0x00cd2ff07447e2372549ac54fba8548bef968687,0.0
0.0,500.0,compound_v3,0xd8800c9d2e6dbea04735eb295f343ce3c1a76211,0.0
0.0,0.0,compound_v3,0x91384e96e280797f9cbe28dff2c01e87f972ec4f,0.0
0.0,0.0,compound_v3,0x10c30a8b58bba3fbcbdcf1b5aa3930c7ee0873d2,0.0
0.0,0.0,compound_v3,0xb7741d42dd12178e0b03efbd1dfa6445f9c53849,0.0
0.0,7257.076975,compound_v3,0xbe7d51b6e11c68b91e2a16e9bdb456180b79171a,0.0
0.0,0.0,compound_v3,0xf6b40d0dad0d2b28fe7fdc125cb0b5ea92c22da7,0.0
0.0,80142.060142,compound_v3,0x46d13d72db5d05bd2671312e321867ab8b30d9f6,0.0
0.0,0.0,compound_v3,0x459365ff23f2d51421c3c84057d7b187c3295811,0.0
0.0,0.0,compound_v3,0x13f0b3e3351ff54ba8daf733167436d46cba8623,0.0
0.0,751219.993323,compound_v3,0x5a600034fc97b13b01c7229e869071ca929ad896,0.0
0.0,0.0,compound_v3,0xecc8ac967d7e62b4fdd2aaaec00b8ff888eb2531,0.0
1977229.637839,1100000.0,compound_v3,0x594fcf750721300618679303b78ad4ca8f0bd055,0.0
0.0,20049.445542,compound_v3,0x959817a28f6389398562c281093263c15433f04c,0.0
0.0,29499.067435,compound_v3,0x27cb78b27388083ccb95e214af0e662db08072d0,0.0
0.0,0.0,compound_v3,0x778ab07337b5f5914042c77f76e998218d4365b2,0.0
