day,inflow_usdc,outflow_usdc,net_usdc,n_deposits,n_withdraws,n_dep_users,n_wd_users
2020-12-23 00:00:00.000 UTC,208046.477966,789679.0978999999,-581632.619934,33,18,28,16
2020-12-24 00:00:00.000 UTC,1074261.9118010004,382669.1681240001,691592.7436770003,71,22,48,10
2020-12-25 00:00:00.000 UTC,602965.104392,289287.75552199985,313677.34887000016,50,30,41,15
2020-12-26 00:00:00.000 UTC,499165.8085370001,196742.85255299998,302422.9559840001,43,18,34,14
2020-12-27 00:00:00.000 UTC,1053212.628661,450747.067613,602465.5610479999,31,32,24,17
2020-12-28 00:00:00.000 UTC,786416.9047310002,787563.364462,-1146.459730999777,45,25,39,17
2020-12-29 00:00:00.000 UTC,11189148.287404,456344.419904,10732803.867500002,28,31,21,26
2020-12-30 00:00:00.000 UTC,7479009.971747001,11664355.408684999,-4185345.436937998,72,39,44,29
2020-12-31 00:00:00.000 UTC,5175367.096099,3328852.1899129995,1846514.906186001,42,33,25,21
2021-01-01 00:00:00.000 UTC,4854364.982108001,2241819.4221210005,2612545.559987,60,53,36,31
2021-01-02 00:00:00.000 UTC,8014651.528980002,2123983.317542,5890668.211438002,54,39,41,28
2021-01-03 00:00:00.000 UTC,4261187.695495999,3976384.9857440004,284802.709751999,66,39,48,23
2021-01-04 00:00:00.000 UTC,4677124.893449999,3793776.41046,883348.4829899995,44,39,28,22
2021-01-05 00:00:00.000 UTC,6981951.738115,5048919.847775,1933031.8903399995,49,41,34,24
2021-01-06 00:00:00.000 UTC,10721994.454408001,2745623.4906320004,7976370.963776001,115,32,100,19
2021-01-07 00:00:00.000 UTC,9161678.685202999,5126981.555371999,4034697.129831,56,45,43,29
2021-01-08 00:00:00.000 UTC,6799795.716730001,7415342.394441,-615546.6777109988,55,30,47,23
2021-01-09 00:00:00.000 UTC,5313033.093361,2605436.5860699997,2707596.507291,68,32,51,20
2021-01-10 00:00:00.000 UTC,9966204.045788996,4622671.230258999,5343532.8155299965,61,51,40,24
2021-01-11 00:00:00.000 UTC,3696006.600262,10892378.397042003,-7196371.796780002,38,78,19,43
2021-01-12 00:00:00.000 UTC,5658530.330887999,11308705.032643,-5650174.701755,53,49,41,40
2021-01-13 00:00:00.000 UTC,5207476.916923998,1905529.6436110002,3301947.273312998,50,39,32,24
2021-01-14 00:00:00.000 UTC,9141467.421276,5136985.389051001,4004482.032224999,60,59,41,26
2021-01-15 00:00:00.000 UTC,2625866.969104,2104019.7516139997,521847.2174900002,68,29,45,17
2021-01-16 00:00:00.000 UTC,8707288.737585997,1869557.392729,6837731.344856997,110,61,50,21
2021-01-17 00:00:00.000 UTC,6048767.544661999,8415633.541335,-2366865.996673001,148,79,86,26
2021-01-18 00:00:00.000 UTC,6382442.381794999,4383307.9951639995,1999134.3866309999,82,64,53,32
2021-01-19 00:00:00.000 UTC,14104234.819944998,9890521.418263003,4213713.401681995,95,63,54,33
2021-01-20 00:00:00.000 UTC,3707962.137148,2037804.4616280003,1670157.6755199996,93,43,53,23
2021-01-21 00:00:00.000 UTC,8981993.532967001,5636923.018204998,3345070.514762003,108,96,53,34
2021-01-22 00:00:00.000 UTC,11126010.681789003,8272367.880043,2853642.8017460033,106,106,47,37
2021-01-23 00:00:00.000 UTC,12732381.157124998,9401335.055374,3331046.101750998,123,114,50,42
2021-01-24 00:00:00.000 UTC,7553385.064797,9515842.026711999,-1962456.9619149985,136,90,88,38
2021-01-25 00:00:00.000 UTC,12059590.181234002,4835244.028018001,7224346.153216002,89,84,54,29
2021-01-26 00:00:00.000 UTC,9046508.358020002,3832634.3800030006,5213873.978017001,117,77,60,30
2021-01-27 00:00:00.000 UTC,7118962.709854,5847328.982963997,1271633.7268900033,109,74,55,31
2021-01-28 00:00:00.000 UTC,24134744.636891004,8928698.987471003,15206045.64942,119,153,52,28
2021-01-29 00:00:00.000 UTC,6907851.271861,8279193.130816999,-1371341.858955999,108,101,41,28
2021-01-30 00:00:00.000 UTC,8587026.861772,4214320.282605,4372706.579167001,93,82,55,28
2021-01-31 00:00:00.000 UTC,10076887.666216,8252741.295857,1824146.3703590007,106,41,50,22
2021-02-01 00:00:00.000 UTC,21626761.617188998,11354219.427869998,10272542.189319,51,105,29,31
2021-02-02 00:00:00.000 UTC,9943713.642064,8581802.513884999,1361911.1281790007,94,73,48,19
2021-02-03 00:00:00.000 UTC,9436547.058195002,4758578.052532,4677969.005663003,117,42,68,19
2021-02-04 00:00:00.000 UTC,11303408.216609,11828060.221281998,-524652.0046729986,103,78,59,21
2021-02-05 00:00:00.000 UTC,13041090.01811,6294013.856295,6747076.161815,84,58,59,23
2021-02-06 00:00:00.000 UTC,10293376.530317001,5136985.671643001,5156390.858674,108,58,55,29
2021-02-07 00:00:00.000 UTC,5853236.569929998,5170961.885025,682274.6849049982,81,72,42,33
2021-02-08 00:00:00.000 UTC,181631110.50707,176925689.55890203,4705420.94816798,118,71,60,27
2021-02-09 00:00:00.000 UTC,13953119.802112997,10312208.251043003,3640911.5510699935,154,56,90,26
2021-02-10 00:00:00.000 UTC,13486697.501015998,6911981.787656999,6574715.713358999,139,54,91,26
2021-02-11 00:00:00.000 UTC,24888028.773499995,10501918.698861003,14386110.074638993,157,73,121,29
2021-02-12 00:00:00.000 UTC,8480317.412820002,6184977.41103,2295340.001790002,150,45,98,27
2021-02-13 00:00:00.000 UTC,18474486.620881,6586323.198977,11888163.421903998,134,58,76,36
2021-02-14 00:00:00.000 UTC,20383153.323948998,8987054.625499,11396098.698449997,125,48,71,25
2021-02-15 00:00:00.000 UTC,10353745.878100993,11960295.577589003,-1606549.6994880103,84,66,44,33
2021-02-16 00:00:00.000 UTC,10319404.184442,5399949.234758,4919454.949684001,94,60,77,34
2021-02-17 00:00:00.000 UTC,13765306.334343,9565129.723177,4200176.6111659985,96,78,67,40
2021-02-18 00:00:00.000 UTC,16865013.447495002,10908810.96394,5956202.483555002,152,47,91,30
2021-02-19 00:00:00.000 UTC,9163456.957887,8193562.322464002,969894.6354229972,92,62,54,23
2021-02-20 00:00:00.000 UTC,24490374.368311998,11520929.825107,12969444.543204997,122,83,74,42
2021-02-21 00:00:00.000 UTC,10859880.272707999,5291489.760753996,5568390.511954003,125,74,89,37
2021-02-22 00:00:00.000 UTC,28045197.659232005,17849022.875765994,10196174.783466011,108,76,59,44
2021-02-23 00:00:00.000 UTC,12108495.580146998,21762278.82305501,-9653783.242908012,118,145,48,57
2021-02-24 00:00:00.000 UTC,15209010.124454005,13703385.945953,1505624.1785010044,125,98,68,43
2021-02-25 00:00:00.000 UTC,11726804.947978003,7622539.586214999,4104265.361763004,130,93,82,39
2021-02-26 00:00:00.000 UTC,18873788.713463005,10268716.503908,8605072.209555004,99,92,51,35
2021-02-27 00:00:00.000 UTC,5978926.495996999,8994879.490632005,-3015952.9946350064,72,73,39,28
2021-02-28 00:00:00.000 UTC,44120248.96727,13570718.723761998,30549530.243508004,170,107,81,54
2021-03-01 00:00:00.000 UTC,22163701.532324,16124096.907539003,6039604.624784999,135,126,64,55
2021-03-02 00:00:00.000 UTC,11589246.727783998,19109188.600211997,-7519941.872427998,116,135,70,42
2021-03-03 00:00:00.000 UTC,14692438.581843998,12067404.828264,2625033.7535799984,134,78,61,45
2021-03-04 00:00:00.000 UTC,19050801.798668,5216042.107872001,13834759.690795999,110,72,49,34
2021-03-05 00:00:00.000 UTC,7164239.859877997,12241640.830954006,-5077400.971076009,79,117,34,37
2021-03-06 00:00:00.000 UTC,5147156.5251589995,7223263.533877999,-2076107.008718999,68,79,49,43
2021-03-07 00:00:00.000 UTC,34297890.184218995,56405302.18679701,-22107412.002578013,100,112,72,54
2021-03-08 00:00:00.000 UTC,48521253.55399201,41825396.20989099,6695857.344101019,120,90,88,47
2021-03-09 00:00:00.000 UTC,13637483.118867999,12925923.727961004,711559.3909069952,114,72,70,34
2021-03-10 00:00:00.000 UTC,10401981.303751005,22974173.425570995,-12572192.12181999,118,50,94,35
2021-03-11 00:00:00.000 UTC,19472568.633507002,10547350.459806997,8925218.173700005,141,44,106,24
2021-03-12 00:00:00.000 UTC,29845578.070390005,8584307.198831001,21261270.871559,102,48,59,33
2021-03-13 00:00:00.000 UTC,6235579.391562,6631054.884387997,-395475.49282599706,67,68,44,40
2021-03-14 00:00:00.000 UTC,16210523.874108002,3234789.542444,12975734.331664002,57,43,49,24
2021-03-15 00:00:00.000 UTC,9843852.008772003,3591217.700293,6252634.308479003,51,39,32,32
