ts,price
2023-03-13 09:53:00.000 UTC,0.989541
2023-03-13 09:54:00.000 UTC,0.989541
2023-03-13 09:55:00.000 UTC,0.989252
2023-03-13 09:56:00.000 UTC,0.989252
2023-03-13 09:57:00.000 UTC,0.989252
2023-03-13 09:58:00.000 UTC,0.989252
2023-03-13 09:59:00.000 UTC,0.989252
2023-03-13 10:00:00.000 UTC,0.989141
2023-03-13 10:01:00.000 UTC,0.989141
2023-03-13 10:02:00.000 UTC,0.989141
2023-03-13 10:03:00.000 UTC,0.989141
2023-03-13 10:04:00.000 UTC,0.989141
2023-03-13 10:05:00.000 UTC,0.989093
2023-03-13 10:06:00.000 UTC,0.989093
2023-03-13 10:07:00.000 UTC,0.989093
2023-03-13 10:08:00.000 UTC,0.989093
2023-03-13 10:09:00.000 UTC,0.989093
2023-03-13 10:10:00.000 UTC,0.989603
2023-03-13 10:11:00.000 UTC,0.989603
2023-03-13 10:12:00.000 UTC,0.989603
2023-03-13 10:13:00.000 UTC,0.989603
2023-03-13 10:14:00.000 UTC,0.989603
2023-03-13 10:15:00.000 UTC,0.989561
2023-03-13 10:16:00.000 UTC,0.989561
2023-03-13 10:17:00.000 UTC,0.989561
2023-03-13 10:18:00.000 UTC,0.989561
2023-03-13 10:19:00.000 UTC,0.989561
2023-03-13 10:20:00.000 UTC,0.990112
2023-03-13 10:21:00.000 UTC,0.990112
2023-03-13 10:22:00.000 UTC,0.990112
2023-03-13 10:23:00.000 UTC,0.990112
2023-03-13 10:24:00.000 UTC,0.990112
2023-03-13 10:25:00.000 UTC,0.990214
2023-03-13 10:26:00.000 UTC,0.990214
2023-03-13 10:27:00.000 UTC,0.990214
2023-03-13 10:28:00.000 UTC,0.990214
2023-03-13 10:29:00.000 UTC,0.990214
2023-03-13 10:30:00.000 UTC,0.989143
2023-03-13 10:31:00.000 UTC,0.989143
2023-03-13 10:32:00.000 UTC,0.989143
2023-03-13 10:33:00.000 UTC,0.989143
2023-03-13 10:34:00.000 UTC,0.989143
2023-03-13 10:35:00.000 UTC,0.989077
2023-03-13 10:36:00.000 UTC,0.989077
2023-03-13 10:37:00.000 UTC,0.989077
2023-03-13 10:38:00.000 UTC,0.989077
2023-03-13 10:39:00.000 UTC,0.989077
2023-03-13 10:40:00.000 UTC,0.988843
2023-03-13 10:41:00.000 UTC,0.988843
2023-03-13 10:42:00.000 UTC,0.988843
2023-03-13 10:43:00.000 UTC,0.988843
2023-03-13 10:44:00.000 UTC,0.988843
2023-03-13 10:45:00.000 UTC,0.988933
2023-03-13 10:46:00.000 UTC,0.988933
2023-03-13 10:47:00.000 UTC,0.988933
2023-03-13 10:48:00.000 UTC,0.988933
2023-03-13 10:49:00.000 UTC,0.988933
2023-03-13 10:50:00.000 UTC,0.988252
2023-03-13 10:51:00.000 UTC,0.988252
2023-03-13 10:52:00.000 UTC,0.988252
2023-03-13 10:53:00.000 UTC,0.988252
2023-03-13 10:54:00.000 UTC,0.988252
2023-03-13 10:55:00.000 UTC,0.988367
2023-03-13 10:56:00.000 UTC,0.988367
2023-03-13 10:57:00.000 UTC,0.988367
2023-03-13 10:58:00.000 UTC,0.988367
2023-03-13 10:59:00.000 UTC,0.988367
2023-03-13 11:00:00.000 UTC,0.988687
2023-03-13 11:01:00.000 UTC,0.988687
2023-03-13 11:02:00.000 UTC,0.988687
2023-03-13 11:03:00.000 UTC,0.988687
2023-03-13 11:04:00.000 UTC,0.988687
2023-03-13 11:05:00.000 UTC,0.989315
2023-03-13 11:06:00.000 UTC,0.989315
2023-03-13 11:07:00.000 UTC,0.989315
2023-03-13 11:08:00.000 UTC,0.989315
2023-03-13 11:09:00.000 UTC,0.989315
2023-03-13 11:10:00.000 UTC,0.988922
2023-03-13 11:11:00.000 UTC,0.988922
2023-03-13 11:12:00.000 UTC,0.988922
2023-03-13 11:13:00.000 UTC,0.988922
2023-03-13 11:14:00.000 UTC,0.988922
2023-03-13 11:15:00.000 UTC,0.98886
2023-03-13 11:16:00.000 UTC,0.98886
2023-03-13 11:17:00.000 UTC,0.98886
2023-03-13 11:18:00.000 UTC,0.98886
2023-03-13 11:19:00.000 UTC,0.98886
2023-03-13 11:20:00.000 UTC,0.988479
2023-03-13 11:21:00.000 UTC,0.988479
2023-03-13 11:22:00.000 UTC,0.988479
2023-03-13 11:23:00.000 UTC,0.988479
2023-03-13 11:24:00.000 UTC,0.988479
2023-03-13 11:25:00.000 UTC,0.98845
2023-03-13 11:26:00.000 UTC,0.98845
2023-03-13 11:27:00.000 UTC,0.98845
2023-03-13 11:28:00.000 UTC,0.98845
2023-03-13 11:29:00.000 UTC,0.98845
2023-03-13 11:30:00.000 UTC,0.988967
2023-03-13 11:31:00.000 UTC,0.988967
2023-03-13 11:32:00.000 UTC,0.988967
2023-03-13 11:33:00.000 UTC,0.988967
2023-03-13 11:34:00.000 UTC,0.988967
2023-03-13 11:35:00.000 UTC,0.988989
2023-03-13 11:36:00.000 UTC,0.988989
2023-03-13 11:37:00.000 UTC,0.988989
2023-03-13 11:38:00.000 UTC,0.988989
2023-03-13 11:39:00.000 UTC,0.988989
2023-03-13 11:40:00.000 UTC,0.988057
2023-03-13 11:41:00.000 UTC,0.988057
2023-03-13 11:42:00.000 UTC,0.988057
2023-03-13 11:43:00.000 UTC,0.988057
2023-03-13 11:44:00.000 UTC,0.988057
2023-03-13 11:45:00.000 UTC,0.988263
2023-03-13 11:46:00.000 UTC,0.988263
2023-03-13 11:47:00.000 UTC,0.988263
2023-03-13 11:48:00.000 UTC,0.988263
2023-03-13 11:49:00.000 UTC,0.988263
2023-03-13 11:50:00.000 UTC,0.988263
2023-03-13 11:51:00.000 UTC,0.988263
2023-03-13 11:52:00.000 UTC,0.988263
2023-03-13 11:53:00.000 UTC,0.988263
2023-03-13 11:54:00.000 UTC,0.988263
2023-03-13 11:55:00.000 UTC,0.988307
2023-03-13 11:56:00.000 UTC,0.988307
2023-03-13 11:57:00.000 UTC,0.988307
2023-03-13 11:58:00.000 UTC,0.988307
2023-03-13 11:59:00.000 UTC,0.988307
2023-03-13 12:00:00.000 UTC,0.988402
2023-03-13 12:01:00.000 UTC,0.988402
2023-03-13 12:02:00.000 UTC,0.988402
2023-03-13 12:03:00.000 UTC,0.988402
