owner,ran_p1,ran_p2,ran_p3
0x20591fa56bbfd562da1013e156b12ee6c8ddc2fc,0,1,0
0x724c9851b359e3fd6bca39996db0924fb942a306,0,1,0
0xe8d9945a620c58da13fe7d8c156ccf90b0e39c9b,0,1,0
0x9957d6f3d37382c59db20e3cabe3e4540b52bba2,1,0,0
0x1c5c4406ec018b26c62606b339cafdba106e2586,0,0,1
0xb38526d039db76f9826debcdce2a1dcb90ef8a97,0,0,0
0x29770812d00e6c24de42d7f51274a05e6a3c04f0,0,0,1
0x02bb6041d8620b3547d3c3604e159b4b8968ef84,0,0,0
0x8d17c1b895e9c85068fff7f9fa6d35cc3dd594c2,0,0,0
0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0,1,1,1
0xe38383f28a5770bf8b304539248adda8d5f38248,1,0,0
0xca4b9039f50473d13e1754c192831eed41409a48,0,0,0
0x1cd14801537a3d1550b7e30a9ed59bf68d8cbc84,0,0,1
0xf748879edbe8cca140940788163d7be4d2a2e46a,0,0,1
0xab7e29b882ba62e0a727d5e17308d2d7c67733d1,1,0,0
0x70e790c39eb82e58d676714bee75727a03773939,1,0,0
0x70fd8c598b1b34a5ddb6c7631bef8a8c94901ec7,0,1,0
0x66b870ddf78c975af5cd8edc6de25eca81791de1,1,1,0
0x9dff05e7b72aa752021b284edd4d90b175a65664,0,0,1
0x47ad454b0fd0ef9654b3f68dad463f1dc541e6e5,0,0,1
0xc84a9432572d1ed339091979c7cd3cafdbb86826,0,1,0
0x442eead2edb0ef4b75833fad04b49601e47819c8,0,1,0
0xd2c32f54a26285decf30e6d208f722e7d5fd3f58,0,0,0
0x4513f9515129dc8c153257126b89a4968c671b6c,0,0,0
0x69114327baa4b07987f468b7eea730192a484082,0,1,0
0x7f2e50105d3eea2247abfe45927a698b0f6a3e38,0,1,0
0x028ccbca42a1a34515703e61c70c42b7aa4eab6c,0,0,0
0x78501dbe607a4d4f9a309e5450d1c88df499a415,0,1,0
0xf38746dc80af641247f4ca11ece611696806d438,0,1,0
0x7044c2cc5e5bbc0485db999ff834556527685985,1,0,0
0x11dbf181dd5c075c2abd92cb9579c4809406b5be,1,1,0
0x58294302c4097deb040fc9dd0020042ee546d0c5,1,1,1
0x98657c61eaf1bbf56ec870d7e3c1ae5f41f1b8c8,0,0,0
0xfcef201852e477b10846aa3f5b06a2c974e54fc8,0,0,0
0x1851060259af808880a4541cb3a465701ae0a1aa,0,1,0
0x119454fcd0c84b3e44cec59a718848c70987935f,1,0,0
0xf32e30f0dc4179098e0ae5194513638918a26191,0,0,0
0x87c24ef7b70c9457d92a2d926d69603c24c03a50,0,1,0
0x1eab3b222a5b57474e0c237e7e1c4312c1066855,0,1,0
0xb16b7454c71c04daff93614ab4f98e2ee75613d4,0,1,1
0x2c6ed140617d76dfc5bb7ab52be0594d6bc682e3,0,0,0
0xa4007e5deed110fac652323e607c5b8f7f88e5f6,0,1,0
0x6ed68cb6043a455b84d2dd52db1c1ea6d7204494,0,0,0
0x251a585e54722ccbdf7824da8e28b0ee1f8e7616,1,0,0
0xe0463796cd79d68761203fe8bd9d1a196f52c1d1,1,0,0
0xabbd5b2b0b034781e58434736728b9d0673de7f1,1,0,0
0xf731f4c74eae61dfa88e0b6a13f9d2624bf2b16f,1,0,0
0x71e343797a751555d9542a619a5d50fb757b9e6e,1,1,1
0x078ab8dcf3578cbccc2e1417e9ab3ac156922647,0,0,0
0xeb1fd48e0bec6b204a085ccd87b8ede81d105d81,0,1,0
0xfdb54efa4020c5f4524fe25e2949800f4342c26c,0,0,0
0xb6020901228d73a0a232166a33a1fa2e103960da,0,1,0
0x289c23cd7cacafd4bfee6344ef376fa14f1bf42d,1,0,0
0x317fddcabd7dc9d7a78a3a88f3a7ed7729c42821,1,0,0
0x91201692e5a5964fd011e9bd6a7e787e7be606e8,1,0,0
0xb90973421e3b6bb342838989c86278d4601d42f3,0,1,1
0xece5efd1d6306baf588e6c35dd20751d62394a50,1,0,0
0x700fc0a7d23a410d0600be10df8663da70131272,0,1,0
0x5e37939becca1818378c52835ad1ebb1ddc4b344,0,0,1
0x3155c5a49aa31ee99ea7fbcb1258192652a8001c,1,0,0
0x6ad063aacbe19dcb8ad87ead54b9839743b451ea,1,0,0
0x3073ac44aa1b95f2fe71bb2eb36b9ce27892f8ee,1,0,0
0x0a4ea2fdfad07d035fa20cf13b7e8813ac5dca22,0,1,0
0x752713891ba14a4d5ff3d6c1256154512601ec05,0,1,0
0xca2e8d0adc0f3c3d35e2e464ede4ff2770158285,1,0,0
0xd7925984736824b4aecf8301c9aee211cd976494,0,0,1
0x6ad3ae30eef1f4007471ec4736f9bc52bb3b30e7,0,0,0
0x32e8d4c9d1b711bc958d0ce8d14b41f77bb03a64,0,0,1
0x06b23dc3fb948fd800dcad8a800b60fd0e5401bc,0,1,0
0x7ea2eadc95cfbd08fe8f641ad07bcc540f6ff3dc,0,1,0
0xbc6ce2d4a3179315b47d47dbb15f89bc5c3032b1,0,0,1
0x5e3cab8074c647c8f51cb3491fe64c00b2fd8355,1,0,0
0x9026a229b535ecf0162dfe48fdeb3c75f7b2a7ae,0,1,0
0x0a53e28f2f7b27971e18a6305c2c74a449badd2e,0,1,0
0x3a4b5efbe6db1d3f364168299bea3c38b5c340c0,0,1,0
0x7edcf7487b8837f77a87fb7d91edec539a1d47ef,0,0,0
0x7ecf0bf3d94dce4838d57b63dc96d6ddc2cc63e7,1,0,0
0x22f9dcf4647084d6c31b2765f6910cd85c178c18,1,1,0
